"Subject" "Activity" "mean_grouped" "dimension" "type_computation" "typetime" "type_number" "body_vs_gravity" "mag" "jerk" "freq"
17 "WALKING_DOWNSTAIRS" 0.277950050208333 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
18 "SITTING" 0.27795824 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
18 "STANDING" 0.276177377784431 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
19 "SITTING" 0.269723487105556 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
20 "LAYING" 0.268210689679487 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
20 "STANDING" 0.268595205636364 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
21 "SITTING" 0.277466525522059 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
22 "SITTING" 0.279241531908081 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
22 "STANDING" 0.267565895829268 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
23 "STANDING" 0.273493254730108 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
24 "LAYING" 0.276767046391076 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
25 "STANDING" 0.275301467772127 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
26 "STANDING" 0.2730365808625 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
27 "LAYING" 0.277798919328859 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
27 "STANDING" 0.275223067435897 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
28 "LAYING" 0.277532554764398 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
29 "LAYING" 0.279111521944767 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
30 "LAYING" 0.276305836721932 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
1 "WALKING" -0.545795331328326 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
2 "WALKING" -0.605586497159271 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
3 "WALKING" -0.623413602046921 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
4 "WALKING" -0.68386446609433 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
4 "WALKING_UPSTAIRS" -0.481157815330894 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
5 "WALKING" -0.507691011391722 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
6 "WALKING" -0.647669170333475 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
6 "WALKING_UPSTAIRS" -0.127000600558652 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
7 "WALKING_UPSTAIRS" -0.577518324748052 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
8 "WALKING_UPSTAIRS" -0.582958863017438 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
9 "WALKING_UPSTAIRS" -0.555656544538194 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
10 "WALKING_DOWNSTAIRS" -0.425216183982906 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
10 "WALKING_UPSTAIRS" -0.976914667166667 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
11 "WALKING_UPSTAIRS" -0.58947649779557 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
12 "SITTING" -0.508665196767164 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
12 "WALKING_DOWNSTAIRS" -0.638208440290323 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
13 "SITTING" -0.624844460199083 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
14 "WALKING_DOWNSTAIRS" -0.493875900753279 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
14 "WALKING_UPSTAIRS" -0.975494321518987 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
15 "WALKING_DOWNSTAIRS" -0.556541173089329 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
16 "WALKING_DOWNSTAIRS" -0.668161498298634 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
17 "SITTING" -0.550867932263844 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
17 "WALKING_DOWNSTAIRS" -0.992370654583333 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
18 "SITTING" -0.991705206333333 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
18 "STANDING" -0.667932305209581 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
19 "SITTING" -0.574658922919194 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
20 "LAYING" -0.546535422961538 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
20 "STANDING" -0.650788909160606 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
21 "SITTING" -0.672323867377451 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
22 "SITTING" -0.631563159137374 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
22 "STANDING" -0.408498997088862 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
23 "STANDING" -0.622594039757258 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
24 "LAYING" -0.675459176298425 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
25 "STANDING" -0.716264537547677 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
26 "STANDING" -0.623101031168367 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
27 "LAYING" -0.574783321550336 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
27 "STANDING" -0.990276643846154 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
28 "LAYING" -0.649040391307853 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
29 "LAYING" -0.574295395364826 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
30 "LAYING" -0.615890785389034 "X" "STD" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
1 "WALKING" 0.744867411573487 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
2 "WALKING" 0.660782866688742 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
3 "WALKING" 0.707814353343108 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
4 "WALKING" 0.731456509896907 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
4 "WALKING_UPSTAIRS" 0.667377493902439 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
5 "WALKING" 0.698153719072848 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
6 "WALKING" 0.670506153601695 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
6 "WALKING_UPSTAIRS" 0.736951892247191 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
7 "WALKING_UPSTAIRS" 0.681289120844156 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
8 "WALKING_UPSTAIRS" 0.647498175409253 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
9 "WALKING_UPSTAIRS" 0.670845545555556 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
10 "WALKING_DOWNSTAIRS" 0.65835911957265 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
10 "WALKING_UPSTAIRS" 0.582637512166667 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
11 "WALKING_UPSTAIRS" 0.730526184936709 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
12 "SITTING" 0.629964778955224 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
12 "WALKING_DOWNSTAIRS" 0.749117763666667 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
13 "SITTING" 0.709996516908257 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
14 "WALKING_DOWNSTAIRS" 0.695710723688525 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
14 "WALKING_UPSTAIRS" 0.599098975405063 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
15 "WALKING_DOWNSTAIRS" 0.688872511512195 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
16 "WALKING_DOWNSTAIRS" 0.700906130308743 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
17 "SITTING" 0.668613344125 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
17 "WALKING_DOWNSTAIRS" 0.901097859791667 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
18 "SITTING" 0.962581161666667 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
18 "STANDING" 0.694792777095808 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
19 "SITTING" 0.475323016 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
20 "LAYING" 0.590974958467949 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
20 "STANDING" 0.657243899191919 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
21 "SITTING" 0.645775957808824 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
22 "SITTING" 0.675242930959596 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
22 "STANDING" 0.503385126178862 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
23 "STANDING" 0.662324737580645 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
24 "LAYING" 0.69498126808399 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
25 "STANDING" 0.672386622127139 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
26 "STANDING" 0.615123534668367 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
27 "LAYING" 0.585139591107383 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
27 "STANDING" 0.788037331794872 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
28 "LAYING" 0.62376789513089 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
29 "LAYING" 0.683067625610465 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
30 "LAYING" 0.696858200678851 "X" "MEAN" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
1 "WALKING" -0.959859435936599 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
2 "WALKING" -0.963015508245033 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
3 "WALKING" -0.966457565630499 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
4 "WALKING" -0.967576704329897 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
4 "WALKING_UPSTAIRS" -0.954845868211382 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
5 "WALKING" -0.964629108807947 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
6 "WALKING" -0.95651898940678 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
6 "WALKING_UPSTAIRS" -0.965208976741573 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
7 "WALKING_UPSTAIRS" -0.956538178587662 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
8 "WALKING_UPSTAIRS" -0.954256666035587 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
9 "WALKING_UPSTAIRS" -0.958784666180556 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
10 "WALKING_DOWNSTAIRS" -0.964245853333333 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
10 "WALKING_UPSTAIRS" -0.9719009915 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
11 "WALKING_UPSTAIRS" -0.975394457689873 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
12 "SITTING" -0.973039656865672 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
12 "WALKING_DOWNSTAIRS" -0.96330852155914 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
13 "SITTING" -0.967268063455658 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
14 "WALKING_DOWNSTAIRS" -0.933986522704918 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
14 "WALKING_UPSTAIRS" -0.963666510379747 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
15 "WALKING_DOWNSTAIRS" -0.968733398628049 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
16 "WALKING_DOWNSTAIRS" -0.971156432131148 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
17 "SITTING" -0.9695361643125 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
17 "WALKING_DOWNSTAIRS" -0.986674910208333 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
18 "SITTING" -0.995679798333333 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
18 "STANDING" -0.978742766586826 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
19 "SITTING" -0.958290447861111 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
20 "LAYING" -0.95804564051282 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
20 "STANDING" -0.958324946717172 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
21 "SITTING" -0.965586634460784 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
22 "SITTING" -0.970886422525252 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
22 "STANDING" -0.938572531056911 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
23 "STANDING" -0.964393040295699 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
24 "LAYING" -0.975329699658793 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
25 "STANDING" -0.950017091344743 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
26 "STANDING" -0.96781789994898 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
27 "LAYING" -0.971679845234899 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
27 "STANDING" -0.985853734871795 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
28 "LAYING" -0.973873328062827 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
29 "LAYING" -0.973282885843023 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
30 "LAYING" -0.974319118563969 "X" "STD" "t" "Acc" "G" "FALSE" "FALSE" "FALSE"
1 "WALKING" 0.0770930495126801 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
2 "WALKING" 0.0785353156747351 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
3 "WALKING" 0.0701731261988856 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
4 "WALKING" 0.0780162237953608 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
4 "WALKING_UPSTAIRS" 0.080200587601626 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
5 "WALKING" 0.0841019899622517 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
6 "WALKING" 0.0866435091149576 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
6 "WALKING_UPSTAIRS" 0.0674351008988764 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
7 "WALKING_UPSTAIRS" 0.0831829573168831 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
8 "WALKING_UPSTAIRS" 0.084215745375516 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
9 "WALKING_UPSTAIRS" 0.0840171430291667 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
10 "WALKING_DOWNSTAIRS" 0.0804000423888889 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
10 "WALKING_UPSTAIRS" 0.0775130550833333 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
11 "WALKING_UPSTAIRS" 0.0830134540658228 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
12 "SITTING" 0.0572366455208955 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
12 "WALKING_DOWNSTAIRS" 0.0799354253827957 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
13 "SITTING" 0.0794393034550306 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
14 "WALKING_DOWNSTAIRS" 0.0731636526834836 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
14 "WALKING_UPSTAIRS" 0.0773017082381013 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
15 "WALKING_DOWNSTAIRS" 0.0776897411304878 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
16 "WALKING_DOWNSTAIRS" 0.0775488885374317 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
17 "SITTING" 0.08251105141625 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
17 "WALKING_DOWNSTAIRS" 0.0740394237708333 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
18 "SITTING" 0.0756560724 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
18 "STANDING" 0.0776448301356287 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
19 "SITTING" 0.0774171147766389 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
20 "LAYING" 0.0750346921474359 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
20 "STANDING" 0.0835868911373737 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
21 "SITTING" 0.0822207874776961 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
22 "SITTING" 0.0847162929146465 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
22 "STANDING" 0.0700672625147154 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
23 "STANDING" 0.0778588215843817 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
24 "LAYING" 0.0784735003467192 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
25 "STANDING" 0.0817657442063814 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
26 "STANDING" 0.0808743261341837 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
27 "LAYING" 0.076859186338255 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
27 "STANDING" 0.0767283254358974 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
28 "LAYING" 0.0807263062382199 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
29 "LAYING" 0.0788382324713372 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
30 "LAYING" 0.0734799270148825 "X" "MEAN" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
1 "WALKING" -0.524721922818732 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
2 "WALKING" -0.557809603123841 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
3 "WALKING" -0.635484688041056 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
4 "WALKING" -0.701066737438144 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
4 "WALKING_UPSTAIRS" -0.522686832030976 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
5 "WALKING" -0.575890535679801 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
6 "WALKING" -0.667198721502542 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
6 "WALKING_UPSTAIRS" -0.171553961355056 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
7 "WALKING_UPSTAIRS" -0.615131377408279 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
8 "WALKING_UPSTAIRS" -0.575993073911744 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
9 "WALKING_UPSTAIRS" -0.578305161360069 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
10 "WALKING_DOWNSTAIRS" -0.414395232038462 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
10 "WALKING_UPSTAIRS" -0.977836345 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
11 "WALKING_UPSTAIRS" -0.659323083055063 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
12 "SITTING" -0.487513853589552 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
12 "WALKING_DOWNSTAIRS" -0.650790264784946 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
13 "SITTING" -0.638889532599083 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
14 "WALKING_DOWNSTAIRS" -0.530799952657623 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
14 "WALKING_UPSTAIRS" -0.985306933037975 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
15 "WALKING_DOWNSTAIRS" -0.624055782158537 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
16 "WALKING_DOWNSTAIRS" -0.72786174352459 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
17 "SITTING" -0.635949363671875 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
17 "WALKING_DOWNSTAIRS" -0.993627979375 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
18 "SITTING" -0.989808125333333 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
18 "STANDING" -0.711725557065868 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
19 "SITTING" -0.571088266146083 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
20 "LAYING" -0.586215941176923 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
20 "STANDING" -0.659309592116667 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
21 "SITTING" -0.699763344205784 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
22 "SITTING" -0.66465053739798 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
22 "STANDING" -0.456687476 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
23 "STANDING" -0.608183751830914 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
24 "LAYING" -0.74030054488189 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
25 "STANDING" -0.79682335007335 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
26 "STANDING" -0.682815652993112 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
27 "LAYING" -0.624308492209396 "X" "STD" "t" "Acc" "B" "FALSE" "TRUE" "FALSE"
